Gene	KO_ID
TOBG-MED-1116_789	K09931
TOBG-MED-1116_793	K03269
TOBG-MED-1116_795	NA
TOBG-MED-1116_796	NA
TOBG-MED-1116_797	NA
TOBG-MED-1116_798	K18702
TOBG-MED-1116_80	NA
TOBG-MED-1116_800	NA
TOBG-MED-1116_801	K00042
TOBG-MED-1116_802	NA
TOBG-MED-1116_806	NA
TOBG-MED-1116_807	NA
TOBG-MED-1116_808	K11206
TOBG-MED-1116_809	K01611
TOBG-MED-1116_81	K01623
TOBG-MED-1116_811	NA
TOBG-MED-1116_812	K08963
TOBG-MED-1116_813	K00772
TOBG-MED-1116_814	K00759
TOBG-MED-1116_817	NA
TOBG-MED-1116_818	K00616
TOBG-MED-1116_819	K04066
TOBG-MED-1116_82	K00927
TOBG-MED-1116_820	K02113
TOBG-MED-1116_821	K02111
TOBG-MED-1116_822	K02115
TOBG-MED-1116_823	K02112
TOBG-MED-1116_824	K02114
TOBG-MED-1116_826	K03797
TOBG-MED-1116_830	NA
TOBG-MED-1116_831	K00931
TOBG-MED-1116_832	K03979
TOBG-MED-1116_835	K01069
TOBG-MED-1116_836	NA
TOBG-MED-1116_84	K00615
TOBG-MED-1116_840	K04517
TOBG-MED-1116_841	NA
TOBG-MED-1116_842	K01586
TOBG-MED-1116_843	K01755
TOBG-MED-1116_850	NA
TOBG-MED-1116_853	K07736
TOBG-MED-1116_854	K05524
TOBG-MED-1116_856	K17675
TOBG-MED-1116_858	NA
TOBG-MED-1116_859	NA
TOBG-MED-1116_862	K08218
TOBG-MED-1116_864	K00979
TOBG-MED-1116_866	K02343
TOBG-MED-1116_869	K01462
TOBG-MED-1116_87	K01934
TOBG-MED-1116_870	NA
TOBG-MED-1116_872	K01907
TOBG-MED-1116_873	NA
TOBG-MED-1116_876	NA
TOBG-MED-1116_878	K03217
TOBG-MED-1116_879	K08998
TOBG-MED-1116_881	NA
TOBG-MED-1116_882	NA
TOBG-MED-1116_883	K04564
TOBG-MED-1116_884	K21929
TOBG-MED-1116_885	NA
TOBG-MED-1116_887	NA
TOBG-MED-1116_888	K06207
TOBG-MED-1116_89	K18189
TOBG-MED-1116_890	K03320
TOBG-MED-1116_892	NA
TOBG-MED-1116_893	NA
TOBG-MED-1116_894	NA
TOBG-MED-1116_895	K08309
TOBG-MED-1116_896	K01714
TOBG-MED-1116_897	K03664
TOBG-MED-1116_898	K00950
TOBG-MED-1116_899	K00951
TOBG-MED-1116_900	K00762
TOBG-MED-1116_905	NA
TOBG-MED-1116_907	NA
TOBG-MED-1116_908	NA
TOBG-MED-1116_909	K01808
TOBG-MED-1116_910	K00600
TOBG-MED-1116_911	K07738
TOBG-MED-1116_912	NA
TOBG-MED-1116_913	K00793
TOBG-MED-1116_914	K14652
TOBG-MED-1116_917	K15987
TOBG-MED-1116_918	NA
TOBG-MED-1116_92	K03562
TOBG-MED-1116_922	NA
TOBG-MED-1116_925	NA
TOBG-MED-1116_928	K02996
TOBG-MED-1116_929	K00145
TOBG-MED-1116_930	K00003
TOBG-MED-1116_931	NA
TOBG-MED-1116_932	K07462
TOBG-MED-1116_935	NA
TOBG-MED-1116_94	NA
TOBG-MED-1116_942	K01768
TOBG-MED-1116_944	NA
TOBG-MED-1116_945	NA
TOBG-MED-1116_946	K06214
TOBG-MED-1116_948	NA
TOBG-MED-1116_95	K03641
TOBG-MED-1116_951	NA
TOBG-MED-1116_957	NA
TOBG-MED-1116_96	K03640
TOBG-MED-1116_960	NA
TOBG-MED-1116_962	NA
TOBG-MED-1116_97	NA
TOBG-MED-1116_98	K04075
TOBG-MED-1116_99	K03798
TOBG-MED-1269_1012	NA
TOBG-MED-1269_1023	K02864
TOBG-MED-1269_1025	K03043
TOBG-MED-1269_103	K21401
TOBG-MED-1269_1030	K02358
TOBG-MED-1269_1032	K02906
TOBG-MED-1269_1059	K02879
TOBG-MED-1269_1065	K17758
TOBG-MED-1269_1066	K01775
TOBG-MED-1269_1093	NA
TOBG-MED-1269_1151	NA
TOBG-MED-1269_1155	K00012
TOBG-MED-1269_117	K00057
TOBG-MED-1269_1200	K00906
TOBG-MED-1269_1214	NA
TOBG-MED-1269_1216	NA
TOBG-MED-1269_122	K07101
TOBG-MED-1269_125	NA
TOBG-MED-1269_1251	NA
TOBG-MED-1269_1264	NA
TOBG-MED-1269_1280	K01803
TOBG-MED-1269_1298	NA
TOBG-MED-1269_1304	NA
TOBG-MED-1269_131	K01470
TOBG-MED-1269_1318	K00566
TOBG-MED-1269_1319	NA
TOBG-MED-1269_1321	NA
TOBG-MED-1269_1323	NA
TOBG-MED-1269_1324	K14445
TOBG-MED-1269_133	K00320
TOBG-MED-1269_1375	K01886
TOBG-MED-1269_14	K14652
TOBG-MED-1269_1438	NA
TOBG-MED-1269_146	K01990
TOBG-MED-1269_1463	NA
TOBG-MED-1269_1466	K02437
TOBG-MED-1269_1491	NA
TOBG-MED-1269_1493	NA
TOBG-MED-1269_1504	K03118
TOBG-MED-1269_1524	K00615
TOBG-MED-1269_1547	K13356
TOBG-MED-1269_1560	K09710
TOBG-MED-1269_158	NA
TOBG-MED-1269_16	NA
TOBG-MED-1269_1605	NA
TOBG-MED-1269_1608	NA
TOBG-MED-1269_1613	K01858
TOBG-MED-1269_1617	NA
TOBG-MED-1269_165	NA
TOBG-MED-1269_1662	NA
TOBG-MED-1269_1683	NA
TOBG-MED-1269_1685	NA
TOBG-MED-1269_1693	NA
TOBG-MED-1269_1702	NA
TOBG-MED-1269_1740	NA
TOBG-MED-1269_1742	NA
TOBG-MED-1269_1744	NA
TOBG-MED-1269_1751	NA
TOBG-MED-1269_1754	NA
TOBG-MED-1269_1755	NA
TOBG-MED-1269_1768	K13876
TOBG-MED-1269_1770	NA
TOBG-MED-1269_1772	NA
TOBG-MED-1269_1783	NA
TOBG-MED-1269_1785	K01997
TOBG-MED-1269_1790	K01448
TOBG-MED-1269_1795	NA
TOBG-MED-1269_1798	NA
TOBG-MED-1269_1813	NA
TOBG-MED-1269_1814	NA
TOBG-MED-1269_1821	NA
TOBG-MED-1269_1844	NA
TOBG-MED-1269_1850	NA
TOBG-MED-1269_1903	NA
TOBG-MED-1269_1905	K07465
TOBG-MED-1269_1915	K19745
TOBG-MED-1269_233	K03168
TOBG-MED-1269_26	K03665
TOBG-MED-1269_263	NA
TOBG-MED-1269_270	NA
TOBG-MED-1269_277	K06187
TOBG-MED-1269_278	K02343
TOBG-MED-1269_28	K00791
TOBG-MED-1269_285	K02069
TOBG-MED-1269_299	NA
