CDS	DNA	RNA
TOBG-MED-1094_843	1	0
TOBG-MED-1094_865	2.5	3.5
TOBG-MED-1094_96	2.5	3.5
TOBG-MED-1116_1	115.984	0
TOBG-MED-1116_10	1	0
TOBG-MED-1116_101	1	0
TOBG-MED-1116_103	1	0
TOBG-MED-1116_104	1	0
TOBG-MED-1116_109	6	0
TOBG-MED-1116_11	1	0
TOBG-MED-1116_110	19	0
TOBG-MED-1116_111	3	0
TOBG-MED-1116_112	3	0
TOBG-MED-1116_117	1	0
TOBG-MED-1116_118	1	0
TOBG-MED-1116_119	6	9
TOBG-MED-1116_120	1	0
TOBG-MED-1116_121	1	0
TOBG-MED-1116_123	1	0
TOBG-MED-1116_124	1	0
TOBG-MED-1116_125	1	0
TOBG-MED-1116_129	3	0
TOBG-MED-1116_130	2	0
TOBG-MED-1116_132	1.402	0
TOBG-MED-1116_136	19	0
TOBG-MED-1116_137	6.004	0
TOBG-MED-1116_138	17	7
TOBG-MED-1116_139	6	0
TOBG-MED-1116_140	11	0
TOBG-MED-1116_141	1	0
TOBG-MED-1116_143	1	3
TOBG-MED-1116_144	2	0
TOBG-MED-1116_146	1	0
TOBG-MED-1116_148	2	0
TOBG-MED-1116_149	36	0
TOBG-MED-1116_150	2	0
TOBG-MED-1116_154	0.5	0
TOBG-MED-1116_162	10	0
TOBG-MED-1116_163	10	0
TOBG-MED-1116_164	2	0
TOBG-MED-1116_165	6	0
TOBG-MED-1116_167	1	0
TOBG-MED-1116_168	2	0
TOBG-MED-1116_169	3	0
TOBG-MED-1116_17	3	0
TOBG-MED-1116_170	2	0
TOBG-MED-1116_172	8	81
TOBG-MED-1116_173	1	0
TOBG-MED-1116_174	8	0
TOBG-MED-1116_175	1	1
TOBG-MED-1116_176	2	0
TOBG-MED-1116_177	1	0
TOBG-MED-1116_178	2	0
TOBG-MED-1116_179	2	0
TOBG-MED-1116_18	1	0
TOBG-MED-1116_180	1	0
TOBG-MED-1116_183	1	0
TOBG-MED-1116_186	3	0
TOBG-MED-1116_187	12	0
TOBG-MED-1116_188	1	0
TOBG-MED-1116_189	3	0
TOBG-MED-1116_190	4	0
TOBG-MED-1116_191	1	0
TOBG-MED-1116_192	4	0
TOBG-MED-1116_193	4	0
TOBG-MED-1116_194	9	0
TOBG-MED-1116_195	2	0
TOBG-MED-1116_197	11	0
TOBG-MED-1116_198	19	0
TOBG-MED-1116_199	16	1
TOBG-MED-1116_2	2	0
TOBG-MED-1116_202	2	0
TOBG-MED-1116_203	1	0
TOBG-MED-1116_204	2	0
TOBG-MED-1116_205	6	0
TOBG-MED-1116_206	15	0
TOBG-MED-1116_207	1	0
TOBG-MED-1116_208	1	0
TOBG-MED-1116_209	2	0
TOBG-MED-1116_211	3	0
TOBG-MED-1116_212	2	0
TOBG-MED-1116_213	1	0
TOBG-MED-1116_215	3	207
TOBG-MED-1116_217	19	16
TOBG-MED-1116_218	2	0
TOBG-MED-1116_219	6	0
TOBG-MED-1116_223	15.964	2
TOBG-MED-1116_224	25	1
TOBG-MED-1116_226	3	0
TOBG-MED-1116_227	5	8
TOBG-MED-1116_229	1	0
TOBG-MED-1116_23	1	0
TOBG-MED-1116_230	1	0
TOBG-MED-1116_232	2	0
TOBG-MED-1116_235	1	0
TOBG-MED-1116_236	1	0
TOBG-MED-1116_241	1	0
TOBG-MED-1116_243	2	0
TOBG-MED-1116_244	1	0
TOBG-MED-1116_252	9	0
TOBG-MED-1116_256	2	0
TOBG-MED-1116_257	3	0
TOBG-MED-1116_260	1	0
TOBG-MED-1116_263	4	0
TOBG-MED-1116_264	11	0
TOBG-MED-1116_266	2	0
TOBG-MED-1116_267	2	0
TOBG-MED-1116_269	5	0
TOBG-MED-1116_270	1	0
TOBG-MED-1116_272	3	0
TOBG-MED-1116_273	1	0
TOBG-MED-1116_275	4	0
TOBG-MED-1116_276	3	0
TOBG-MED-1116_277	2	0
TOBG-MED-1116_279	1	0
TOBG-MED-1116_28	1	0
TOBG-MED-1116_280	3	0
TOBG-MED-1116_281	1	0
TOBG-MED-1116_285	2	0
TOBG-MED-1116_287	1	0
TOBG-MED-1116_288	1	0
TOBG-MED-1116_289	6	0
TOBG-MED-1116_290	1	0
TOBG-MED-1116_292	1	0
TOBG-MED-1116_293	2	0
TOBG-MED-1116_297	4	0
TOBG-MED-1116_298	5	0
TOBG-MED-1116_299	6	0
TOBG-MED-1116_30	1	0
TOBG-MED-1116_300	1	0
TOBG-MED-1116_301	3	0
TOBG-MED-1116_302	2	0
TOBG-MED-1116_303	1	0
TOBG-MED-1116_306	2	0
TOBG-MED-1116_307	5	0
TOBG-MED-1116_310	1	0
TOBG-MED-1116_311	1	0
TOBG-MED-1116_312	2	0
TOBG-MED-1116_313	1	0
TOBG-MED-1116_317	1	0
TOBG-MED-1116_32	1	0
TOBG-MED-1116_320	1	0
TOBG-MED-1116_321	1	0
TOBG-MED-1116_322	4	0
TOBG-MED-1116_323	30	0
TOBG-MED-1116_324	1	0
TOBG-MED-1116_325	1	0
TOBG-MED-1116_328	2	0
TOBG-MED-1116_329	5	0
TOBG-MED-1116_33	1	0
TOBG-MED-1116_330	2	0
TOBG-MED-1116_332	6	0
TOBG-MED-1116_333	3	0
TOBG-MED-1116_334	2	0
TOBG-MED-1116_335	2	0
TOBG-MED-1116_337	4	0
TOBG-MED-1116_338	1	0
TOBG-MED-1116_339	1	0
TOBG-MED-1116_340	2	0
TOBG-MED-1116_343	2	0
TOBG-MED-1116_344	3	0
TOBG-MED-1116_345	1	0
TOBG-MED-1116_346	22	0
TOBG-MED-1116_347	9	0
TOBG-MED-1116_348	3	0
TOBG-MED-1116_349	17	0
TOBG-MED-1116_35	1	0
TOBG-MED-1116_350	14	0
TOBG-MED-1116_351	5	0
TOBG-MED-1116_352	3	0
TOBG-MED-1116_353	1	0
TOBG-MED-1116_354	2	0
TOBG-MED-1116_356	2	0
TOBG-MED-1116_357	1	0
TOBG-MED-1116_358	2	0
TOBG-MED-1116_359	2	0
TOBG-MED-1116_362	1	0
TOBG-MED-1116_363	2	0
TOBG-MED-1116_365	2	0
TOBG-MED-1116_367	2	0
TOBG-MED-1116_368	2	0
TOBG-MED-1116_370	2	0
TOBG-MED-1116_371	5	2
TOBG-MED-1116_373	2	0
TOBG-MED-1116_374	5	0
TOBG-MED-1116_375	1	0
TOBG-MED-1116_377	4	0
TOBG-MED-1116_378	1	0
TOBG-MED-1116_379	8	0
TOBG-MED-1116_380	2	0
TOBG-MED-1116_382	3	0
TOBG-MED-1116_384	4	0
TOBG-MED-1116_387	1	0
TOBG-MED-1116_388	5	0
TOBG-MED-1116_390	2	0
TOBG-MED-1116_391	250	29
TOBG-MED-1116_392	394	45
TOBG-MED-1116_393	6	0
TOBG-MED-1116_394	8	5
TOBG-MED-1116_395	8	0
TOBG-MED-1116_396	1	0
TOBG-MED-1116_397	3	0
TOBG-MED-1116_398	2	0
TOBG-MED-1116_399	2	0
TOBG-MED-1116_4	1	0
TOBG-MED-1116_40	1	0
TOBG-MED-1116_401	2	0
TOBG-MED-1116_403	1	0
TOBG-MED-1116_404	3	0
TOBG-MED-1116_405	5	0
TOBG-MED-1116_406	2	0
TOBG-MED-1116_407	5	0
TOBG-MED-1116_408	5	0
TOBG-MED-1116_409	7	0
TOBG-MED-1116_41	1	0
TOBG-MED-1116_410	6	0
TOBG-MED-1116_411	3	0
TOBG-MED-1116_412	14	0
TOBG-MED-1116_413	1	0
TOBG-MED-1116_414	6	0
TOBG-MED-1116_415	3	0
TOBG-MED-1116_416	2	0
TOBG-MED-1116_418	1	0
TOBG-MED-1116_419	1	0
TOBG-MED-1116_42	1	0
TOBG-MED-1116_421	1	0
TOBG-MED-1116_423	2	0
TOBG-MED-1116_424	1	0
TOBG-MED-1116_428	2	0
TOBG-MED-1116_429	1	0
TOBG-MED-1116_43	1	0
TOBG-MED-1116_430	9	7
TOBG-MED-1116_431	1	0
TOBG-MED-1116_432	3	0
TOBG-MED-1116_433	1	0
TOBG-MED-1116_434	1	0
TOBG-MED-1116_438	1	0
TOBG-MED-1116_439	3	0
TOBG-MED-1116_440	1	0
TOBG-MED-1116_442	12	1
TOBG-MED-1116_444	3	0
TOBG-MED-1116_446	1	0
TOBG-MED-1116_447	2	0
TOBG-MED-1116_448	1	0
TOBG-MED-1116_452	1	0
TOBG-MED-1116_455	2	0
TOBG-MED-1116_458	1	0
TOBG-MED-1116_459	1	0
TOBG-MED-1116_46	1	0
TOBG-MED-1116_460	1	0
TOBG-MED-1116_463	14	0
TOBG-MED-1116_464	1	0
TOBG-MED-1116_465	2	0
TOBG-MED-1116_466	3	0
TOBG-MED-1116_468	9	17
TOBG-MED-1116_469	6	0
TOBG-MED-1116_470	10	0
TOBG-MED-1116_471	1	0
TOBG-MED-1116_472	4	0
TOBG-MED-1116_473	5	0
TOBG-MED-1116_474	5	0
TOBG-MED-1116_475	6	0
TOBG-MED-1116_476	12	0
TOBG-MED-1116_477	2	0
TOBG-MED-1116_478	4	0
TOBG-MED-1116_479	4	0
TOBG-MED-1116_483	9	0
TOBG-MED-1116_484	5	7
TOBG-MED-1116_485	7	0
TOBG-MED-1116_486	4	0
TOBG-MED-1116_487	346	123
TOBG-MED-1116_489	4	0
TOBG-MED-1116_49	3	0
TOBG-MED-1116_490	1	0
TOBG-MED-1116_491	3	0
TOBG-MED-1116_492	1	0
TOBG-MED-1116_496	1	0
TOBG-MED-1116_5	2	0
TOBG-MED-1116_500	2	0
TOBG-MED-1116_501	3	0
TOBG-MED-1116_503	2	0
TOBG-MED-1116_506	1	0
TOBG-MED-1116_507	2	0
TOBG-MED-1116_509	3	0
TOBG-MED-1116_510	1	0
TOBG-MED-1116_512	1	0
TOBG-MED-1116_513	2	0
TOBG-MED-1116_516	2	0
TOBG-MED-1116_517	5	0
TOBG-MED-1116_52	1	0
TOBG-MED-1116_520	1	0
TOBG-MED-1116_521	2	0
TOBG-MED-1116_522	2	0
TOBG-MED-1116_523	2	0
TOBG-MED-1116_524	1	0
TOBG-MED-1116_525	1	0
TOBG-MED-1116_526	2	0
TOBG-MED-1116_528	2	0
TOBG-MED-1116_53	1	0
TOBG-MED-1116_531	1	0
TOBG-MED-1116_532	1	0
TOBG-MED-1116_533	1	0
TOBG-MED-1116_535	2	0
TOBG-MED-1116_536	3	0
TOBG-MED-1116_537	2	0
TOBG-MED-1116_538	1	0
TOBG-MED-1116_539	1	0
TOBG-MED-1116_54	2	0
TOBG-MED-1116_541	4	0
TOBG-MED-1116_543	12	0
TOBG-MED-1116_544	1	0
TOBG-MED-1116_545	2	0
TOBG-MED-1116_547	1	0
TOBG-MED-1116_548	1	0
TOBG-MED-1116_55	1	0
TOBG-MED-1116_551	1	0
TOBG-MED-1116_552	2	0
TOBG-MED-1116_554	1	0
TOBG-MED-1116_555	3	0
TOBG-MED-1116_557	1	0
TOBG-MED-1116_558	5	0
TOBG-MED-1116_560	2	0
TOBG-MED-1116_562	3	0
TOBG-MED-1116_564	1	0
TOBG-MED-1116_565	2	0
TOBG-MED-1116_567	2	0
TOBG-MED-1116_568	2	0
TOBG-MED-1116_569	1	0
TOBG-MED-1116_57	2	0
TOBG-MED-1116_570	2	0
TOBG-MED-1116_572	1	0
TOBG-MED-1116_573	7	0
TOBG-MED-1116_574	5	0
TOBG-MED-1116_575	8	0
TOBG-MED-1116_576	4	0
TOBG-MED-1116_577	5	0
TOBG-MED-1116_578	1	0
TOBG-MED-1116_579	6	0
TOBG-MED-1116_58	6	0
TOBG-MED-1116_580	7	0
TOBG-MED-1116_583	8	0
TOBG-MED-1116_584	61.776	4
TOBG-MED-1116_585	7	4
TOBG-MED-1116_586	4	0
TOBG-MED-1116_587	2	0
TOBG-MED-1116_589	1	0
TOBG-MED-1116_59	2	0
TOBG-MED-1116_590	2	0
TOBG-MED-1116_594	1	0
TOBG-MED-1116_595	1	0
TOBG-MED-1116_597	1	0
TOBG-MED-1116_599	17.689	1
TOBG-MED-1116_60	1	0
TOBG-MED-1116_600	1	0
TOBG-MED-1116_601	2	0
TOBG-MED-1116_605	1	0
TOBG-MED-1116_607	2	0
TOBG-MED-1116_608	1	0
TOBG-MED-1116_609	3	0
TOBG-MED-1116_612	3	0
TOBG-MED-1116_614	1	8
TOBG-MED-1116_616	1	0
TOBG-MED-1116_62	1	0
TOBG-MED-1116_621	2	0
TOBG-MED-1116_622	1	0
TOBG-MED-1116_623	4	0
TOBG-MED-1116_624	1	0
TOBG-MED-1116_625	2	0
TOBG-MED-1116_626	1	0
TOBG-MED-1116_629	1	0
TOBG-MED-1116_630	4	0
TOBG-MED-1116_632	19	1
TOBG-MED-1116_633	4	0
TOBG-MED-1116_634	9	0
TOBG-MED-1116_635	1	5
TOBG-MED-1116_636	12	0
TOBG-MED-1116_637	3	0
TOBG-MED-1116_639	3	0
TOBG-MED-1116_64	2	0
TOBG-MED-1116_641	1	0
TOBG-MED-1116_645	1	0
TOBG-MED-1116_646	1	8
TOBG-MED-1116_647	1	19
TOBG-MED-1116_65	3.961	0
TOBG-MED-1116_650	2	0
TOBG-MED-1116_651	1	0
TOBG-MED-1116_652	1	0
TOBG-MED-1116_653	1	0
TOBG-MED-1116_657	2	0
TOBG-MED-1116_658	2	0
TOBG-MED-1116_66	1	0
TOBG-MED-1116_661	3	0
TOBG-MED-1116_662	1	0
TOBG-MED-1116_663	1	0
TOBG-MED-1116_664	1	0
TOBG-MED-1116_666	1	0
TOBG-MED-1116_669	2	0
TOBG-MED-1116_67	16	0
TOBG-MED-1116_670	1	0
TOBG-MED-1116_673	3	0
TOBG-MED-1116_674	1	0
TOBG-MED-1116_675	9	0
TOBG-MED-1116_676	9	0
TOBG-MED-1116_68	7	1
TOBG-MED-1116_682	22	105
TOBG-MED-1116_683	6	0
TOBG-MED-1116_684	23	13
TOBG-MED-1116_685	3	0
TOBG-MED-1116_686	1	0
TOBG-MED-1116_689	1	0
TOBG-MED-1116_69	5	0
TOBG-MED-1116_692	7	0
TOBG-MED-1116_693	2	0
TOBG-MED-1116_694	2	0
TOBG-MED-1116_697	1	0
TOBG-MED-1116_699	3	0
TOBG-MED-1116_70	2	0
TOBG-MED-1116_700	4	0
TOBG-MED-1116_702	1	0
TOBG-MED-1116_703	2	0
TOBG-MED-1116_704	2	0
TOBG-MED-1116_705	1	0
TOBG-MED-1116_706	1	0
TOBG-MED-1116_707	2	0
TOBG-MED-1116_71	2	0
TOBG-MED-1116_711	4	0
TOBG-MED-1116_712	1	0
TOBG-MED-1116_713	2	0
TOBG-MED-1116_714	2	0
TOBG-MED-1116_716	1	0
TOBG-MED-1116_717	1	0
TOBG-MED-1116_718	2	0
TOBG-MED-1116_721	2	0
TOBG-MED-1116_722	3	0
TOBG-MED-1116_723	3	0
TOBG-MED-1116_725	1	0
TOBG-MED-1116_726	1	0
TOBG-MED-1116_727	1	0
TOBG-MED-1116_728	2	0
TOBG-MED-1116_73	3	0
TOBG-MED-1116_733	1	0
TOBG-MED-1116_734	2	0
TOBG-MED-1116_735	4	0
TOBG-MED-1116_737	3	0
TOBG-MED-1116_738	2	0
TOBG-MED-1116_739	2	0
TOBG-MED-1116_74	2	0
TOBG-MED-1116_740	1	0
TOBG-MED-1116_742	1	0
TOBG-MED-1116_744	5	0
TOBG-MED-1116_745	3	0
TOBG-MED-1116_746	3	0
TOBG-MED-1116_747	1	0
TOBG-MED-1116_748	2	0
TOBG-MED-1116_749	7	0
TOBG-MED-1116_750	3	0
TOBG-MED-1116_751	1	0
TOBG-MED-1116_752	6	0
TOBG-MED-1116_753	2	0
TOBG-MED-1116_754	7	0
TOBG-MED-1116_755	1	0
TOBG-MED-1116_757	2	0
TOBG-MED-1116_759	1	0
TOBG-MED-1116_760	1	0
TOBG-MED-1116_763	2	0
TOBG-MED-1116_764	1	0
TOBG-MED-1116_765	2	0
TOBG-MED-1116_77	1	0
TOBG-MED-1116_770	3	0
TOBG-MED-1116_771	1	0
TOBG-MED-1116_772	1	0
TOBG-MED-1116_773	2	0
TOBG-MED-1116_774	1	0
TOBG-MED-1116_775	1	0
TOBG-MED-1116_776	6	0
TOBG-MED-1116_777	1	0
TOBG-MED-1116_779	4	0
TOBG-MED-1116_782	11	27
TOBG-MED-1116_783	2	0
TOBG-MED-1116_784	4	0
TOBG-MED-1116_788	1	0
TOBG-MED-1116_789	2	0
TOBG-MED-1116_793	2.039	0
TOBG-MED-1116_795	2	0
TOBG-MED-1116_796	6	0
TOBG-MED-1116_797	17	69
TOBG-MED-1116_798	4	0
TOBG-MED-1116_80	1	0
TOBG-MED-1116_800	2	0
TOBG-MED-1116_801	2	0
TOBG-MED-1116_802	1	0
TOBG-MED-1116_806	1	0
TOBG-MED-1116_807	1	0
TOBG-MED-1116_808	2	0
TOBG-MED-1116_809	7	0
TOBG-MED-1116_81	1	0
TOBG-MED-1116_811	3	0
TOBG-MED-1116_812	4	0
TOBG-MED-1116_813	4	0
TOBG-MED-1116_814	4	0
TOBG-MED-1116_817	5	0
TOBG-MED-1116_818	7	7
TOBG-MED-1116_819	11	0
TOBG-MED-1116_82	2	0
TOBG-MED-1116_820	1	0
TOBG-MED-1116_821	16.738	5
TOBG-MED-1116_822	7	0
TOBG-MED-1116_823	9	0
TOBG-MED-1116_824	1	0
TOBG-MED-1116_826	2	0
TOBG-MED-1116_830	1	0
TOBG-MED-1116_831	1	0
TOBG-MED-1116_832	1	0
TOBG-MED-1116_835	1	0
TOBG-MED-1116_836	1	0
TOBG-MED-1116_84	5	0
TOBG-MED-1116_840	1	0
TOBG-MED-1116_841	2	0
TOBG-MED-1116_842	1	0
TOBG-MED-1116_843	1	0
TOBG-MED-1116_850	1	0
TOBG-MED-1116_853	1	0
TOBG-MED-1116_854	1	0
TOBG-MED-1116_856	2	0
TOBG-MED-1116_858	3	0
TOBG-MED-1116_859	1	0
TOBG-MED-1116_862	2	0
TOBG-MED-1116_864	1	0
TOBG-MED-1116_866	3	0
TOBG-MED-1116_869	1	0
TOBG-MED-1116_87	1	0
TOBG-MED-1116_870	3	0
TOBG-MED-1116_872	4	0
TOBG-MED-1116_873	2	0
TOBG-MED-1116_876	7	0
TOBG-MED-1116_878	4	0
TOBG-MED-1116_879	2	0
TOBG-MED-1116_881	1	0
TOBG-MED-1116_882	5	0
TOBG-MED-1116_883	2	0
TOBG-MED-1116_884	2	0
TOBG-MED-1116_885	1	0
TOBG-MED-1116_887	1	0
TOBG-MED-1116_888	11	0
TOBG-MED-1116_89	2	0
TOBG-MED-1116_890	2	0
TOBG-MED-1116_892	3	0
TOBG-MED-1116_893	8	0
TOBG-MED-1116_894	9	0
TOBG-MED-1116_895	4	0
TOBG-MED-1116_896	2	0
TOBG-MED-1116_897	1	0
TOBG-MED-1116_898	1	0
TOBG-MED-1116_899	2	0
TOBG-MED-1116_900	1	0
TOBG-MED-1116_905	1	0
TOBG-MED-1116_907	2	0
TOBG-MED-1116_908	5	0
TOBG-MED-1116_909	3	0
TOBG-MED-1116_910	14	0
TOBG-MED-1116_911	3	0
TOBG-MED-1116_912	9	0
TOBG-MED-1116_913	6	0
TOBG-MED-1116_914	6	0
TOBG-MED-1116_917	21	1
TOBG-MED-1116_918	2	0
TOBG-MED-1116_92	0.5	0
TOBG-MED-1116_922	1	0
TOBG-MED-1116_925	1	0
TOBG-MED-1116_928	1	0
TOBG-MED-1116_929	2	0
TOBG-MED-1116_930	3	0
TOBG-MED-1116_931	3	0
TOBG-MED-1116_932	6	0
TOBG-MED-1116_935	1	0
TOBG-MED-1116_94	1	0
TOBG-MED-1116_942	2	8
TOBG-MED-1116_944	1	0
TOBG-MED-1116_945	2	0
TOBG-MED-1116_946	2	8
TOBG-MED-1116_948	1	0
TOBG-MED-1116_95	1	0
TOBG-MED-1116_951	1	0
TOBG-MED-1116_957	1	0
TOBG-MED-1116_96	3	33
TOBG-MED-1116_960	4	0
TOBG-MED-1116_962	1	0
TOBG-MED-1116_97	3	0
TOBG-MED-1116_98	8	0
TOBG-MED-1116_99	24	15
TOBG-MED-1269_1012	1	0
TOBG-MED-1269_1023	1	0
TOBG-MED-1269_1025	1	0
TOBG-MED-1269_103	1	0
TOBG-MED-1269_1030	1	0
TOBG-MED-1269_1032	1	0
TOBG-MED-1269_1059	1	0
TOBG-MED-1269_1065	1	0
TOBG-MED-1269_1066	1	0
TOBG-MED-1269_1093	1	0
TOBG-MED-1269_1151	1	0
TOBG-MED-1269_1155	1	0
TOBG-MED-1269_117	1	0
TOBG-MED-1269_1200	1	0
TOBG-MED-1269_1214	1	0
TOBG-MED-1269_1216	4	0
TOBG-MED-1269_122	1	0
TOBG-MED-1269_125	3	0
TOBG-MED-1269_1251	1	0
TOBG-MED-1269_1264	2	0
TOBG-MED-1269_1280	1	0
TOBG-MED-1269_1298	1	0
TOBG-MED-1269_1304	1	0
TOBG-MED-1269_131	1	0
TOBG-MED-1269_1318	1	0
TOBG-MED-1269_1319	1	0
TOBG-MED-1269_1321	1	0
TOBG-MED-1269_1323	6	172
TOBG-MED-1269_1324	1	0
TOBG-MED-1269_133	1	0
TOBG-MED-1269_1375	1	0
TOBG-MED-1269_14	1	0
TOBG-MED-1269_1438	2	0
TOBG-MED-1269_146	1	0
TOBG-MED-1269_1463	1	0
TOBG-MED-1269_1466	1	0
TOBG-MED-1269_1491	1	0
TOBG-MED-1269_1493	1	0
TOBG-MED-1269_1504	1	0
TOBG-MED-1269_1524	1	0
TOBG-MED-1269_1547	1	0
TOBG-MED-1269_1560	1	0
TOBG-MED-1269_158	1	0
TOBG-MED-1269_16	1	0
TOBG-MED-1269_1605	1	0
TOBG-MED-1269_1608	1	0
TOBG-MED-1269_1613	1	0
TOBG-MED-1269_1617	1	0
TOBG-MED-1269_165	1	0
TOBG-MED-1269_1662	1	0
TOBG-MED-1269_1683	1	0
TOBG-MED-1269_1685	1	0
TOBG-MED-1269_1693	1	0
TOBG-MED-1269_1702	4	0
TOBG-MED-1269_1740	1	0
TOBG-MED-1269_1742	2	0
TOBG-MED-1269_1744	1	0
TOBG-MED-1269_1751	8.27	0
TOBG-MED-1269_1754	1	0
TOBG-MED-1269_1755	1	0
TOBG-MED-1269_1768	1	0
TOBG-MED-1269_1770	1	0
